Optimal - objective value -369.24000000
   7420 squad[1359,24]                            1                       0
   7421 squad[1359,25]                            1                       0
   7422 squad[1359,26]                            1                       0
   7423 squad[1359,27]                            1                       0
   7424 squad[1359,28]                            1                       0
   7425 squad[1359,29]                            1                       0
   7426 squad[1359,30]                            1                   -3.59
   8042 squad[20,1]                               1                       0
   8043 squad[20,2]                               1                   -4.69
   8044 squad[20,3]                               1                       0
   8045 squad[20,4]                               1                       0
   8046 squad[20,5]                               1                       0
   8047 squad[20,6]                               1                       0
   8048 squad[20,7]                               1                       0
   8049 squad[20,8]                               1                       0
   8050 squad[20,9]                               1                       0
   8051 squad[20,10]                              1                       0
   8052 squad[20,11]                              1                       0
   8053 squad[20,12]                              1                       0
   8054 squad[20,13]                              1                       0
   8055 squad[20,14]                              1                   -3.68
   8056 squad[20,15]                              1                       0
   8057 squad[20,16]                              1                       0
   8058 squad[20,17]                              1                   -3.94
   8059 squad[20,18]                              1                       0
   8060 squad[20,19]                              1                       0
   8061 squad[20,20]                              1                       0
   8062 squad[20,21]                              1                       0
   8063 squad[20,22]                              1                       0
   8064 squad[20,23]                              1                       0
   8065 squad[20,24]                              1                       0
   8066 squad[20,25]                              1                       0
   8067 squad[20,26]                              1                   -3.37
   8068 squad[20,27]                              1                       0
   8069 squad[20,28]                              1                       0
   8070 squad[20,29]                              1                   -3.72
   8071 squad[20,30]                              1                       0
   8588 squad[1283,31]                            1                   -4.25
   8589 squad[1283,32]                            1                       0
   8590 squad[1283,33]                            1                       0
   8591 squad[1283,34]                            1                       0
   8592 squad[1283,35]                            1                       0
   8593 squad[1283,36]                            1                       0
   8594 squad[1283,37]                            1                   -3.86
   8595 squad[1283,38]                            1                       0
   8596 squad[1283,39]                            1                   -4.67
   8597 squad[1283,40]                            1                       0
   8598 squad[1283,41]                            1                       0
   8599 squad[1283,42]                            1                       0
   8730 squad[895,1]                              1                       0
   8731 squad[895,2]                              1                       0
   8732 squad[895,3]                              1                       0
   8733 squad[895,4]                              1                       0
   8734 squad[895,5]                              1                   -4.43
   8735 squad[895,6]                              1                       0
   8736 squad[895,7]                              1                       0
   8737 squad[895,8]                              1                       0
   8738 squad[895,9]                              1                   -4.05
   8739 squad[895,10]                             1                       0
   8740 squad[895,11]                             1                       0
   8741 squad[895,12]                             1                       0
   8742 squad[895,13]                             1                       0
   8743 squad[895,14]                             1                       0
   8744 squad[895,15]                             1                       0
   8745 squad[895,16]                             1                       0
   8746 squad[895,17]                             1                   -3.96
   8747 squad[895,18]                             1                       0
   8748 squad[895,19]                             1                       0
   8749 squad[895,20]                             1                       0
   8750 squad[895,21]                             1                       0
   8751 squad[895,22]                             1                       0
   8752 squad[895,23]                             1                   -4.89
   8753 squad[895,24]                             1                       0
   8754 squad[895,25]                             1                       0
   8755 squad[895,26]                             1                       0
   8756 squad[895,27]                             1                       0
   8757 squad[895,28]                             1                       0
   8758 squad[895,29]                             1                       0
   8759 squad[895,30]                             1                       0
   8760 squad[895,31]                             1                   -3.45
   8761 squad[895,32]                             1                       0
   8762 squad[895,33]                             1                       0
   8763 squad[895,34]                             1                   -4.76
   8764 squad[895,35]                             1                       0
   8765 squad[895,36]                             1                       0
   8766 squad[895,37]                             1                       0
   8767 squad[895,38]                             1                       0
   8768 squad[895,39]                             1                       0
   8769 squad[895,40]                             1                       0
   8770 squad[895,41]                             1                    -4.1
   8771 squad[895,42]                             1                       0
   9203 squad[100,1]                              1                       0
   9204 squad[100,2]                              1                       0
   9205 squad[100,3]                              1                    -4.6
   9206 squad[100,4]                              1                       0
   9207 squad[100,5]                              1                       0
   9208 squad[100,6]                              1                       0
   9209 squad[100,7]                              1                       0
   9210 squad[100,8]                              1                       0
   9211 squad[100,9]                              1                   -3.44
   9212 squad[100,10]                             1                       0
   9806 squad[351,2]                              1                       0
   9807 squad[351,3]                              1                       0
   9808 squad[351,4]                              1                       0
   9809 squad[351,5]                              1                       0
   9810 squad[351,6]                              1                   -5.54
   9811 squad[351,7]                              1                       0
   9812 squad[351,8]                              1                       0
   9813 squad[351,9]                              1                   -7.02
   9814 squad[351,10]                             1                       0
   9828 squad[351,24]                             1                       0
   9829 squad[351,25]                             1                   -5.53
   9830 squad[351,26]                             1                       0
   9831 squad[351,27]                             1                   -5.81
   9840 squad[351,36]                             1                   -6.37
   9844 squad[351,40]                             1                   -5.53
   9845 squad[351,41]                             1                       0
   9846 squad[351,42]                             1                       0
  10278 squad[417,1]                              1                       0
  10279 squad[417,2]                              1                       0
  10280 squad[417,3]                              1                       0
  10281 squad[417,4]                              1                       0
  10282 squad[417,5]                              1                       0
  10283 squad[417,6]                              1                       0
  10284 squad[417,7]                              1                   -6.41
  10285 squad[417,8]                              1                       0
  10286 squad[417,9]                              1                       0
  10287 squad[417,10]                             1                   -4.86
  10288 squad[417,11]                             1                       0
  10289 squad[417,12]                             1                       0
  10290 squad[417,13]                             1                       0
  10291 squad[417,14]                             1                       0
  10292 squad[417,15]                             1                       0
  10293 squad[417,16]                             1                       0
  10294 squad[417,17]                             1                   -6.77
  10295 squad[417,18]                             1                       0
  10296 squad[417,19]                             1                       0
  10297 squad[417,20]                             1                       0
  10298 squad[417,21]                             1                       0
  10299 squad[417,22]                             1                       0
  10300 squad[417,23]                             1                       0
  10301 squad[417,24]                             1                       0
  10302 squad[417,25]                             1                       0
  10303 squad[417,26]                             1                   -3.86
  10304 squad[417,27]                             1                       0
  10305 squad[417,28]                             1                   -5.35
  10306 squad[417,29]                             1                       0
  10307 squad[417,30]                             1                       0
  10308 squad[417,31]                             1                       0
  10309 squad[417,32]                             1                       0
  10310 squad[417,33]                             1                       0
  10311 squad[417,34]                             1                       0
  10312 squad[417,35]                             1                   -4.91
  10313 squad[417,36]                             1                       0
  10314 squad[417,37]                             1                       0
  10315 squad[417,38]                             1                       0
  10316 squad[417,39]                             1                    -5.5
  10317 squad[417,40]                             1                       0
  10318 squad[417,41]                             1                       0
  10319 squad[417,42]                             1                       0
  10461 squad[645,12]                             1                   -5.83
  10622 squad[373,1]                              1                    -4.3
  10623 squad[373,2]                              1                       0
  10624 squad[373,3]                              1                       0
  10625 squad[373,4]                              1                       0
  10626 squad[373,5]                              1                       0
  10627 squad[373,6]                              1                       0
  10628 squad[373,7]                              1                       0
  10629 squad[373,8]                              1                       0
  10630 squad[373,9]                              1                       0
  10631 squad[373,10]                             1                       0
  10632 squad[373,11]                             1                   -3.46
  10633 squad[373,12]                             1                       0
  10634 squad[373,13]                             1                       0
  10635 squad[373,14]                             1                       0
  10636 squad[373,15]                             1                       0
  10637 squad[373,16]                             1                       0
  10638 squad[373,17]                             1                       0
  10639 squad[373,18]                             1                       0
  10640 squad[373,19]                             1                   -4.71
  10641 squad[373,20]                             1                       0
  10642 squad[373,21]                             1                       0
  10643 squad[373,22]                             1                       0
  10644 squad[373,23]                             1                   -4.16
  10645 squad[373,24]                             1                       0
  10646 squad[373,25]                             1                       0
  10647 squad[373,26]                             1                       0
  10648 squad[373,27]                             1                       0
  10649 squad[373,28]                             1                   -3.81
  10650 squad[373,29]                             1                       0
  10651 squad[373,30]                             1                       0
  10652 squad[373,31]                             1                       0
  10653 squad[373,32]                             1                       0
  10654 squad[373,33]                             1                   -4.56
  10655 squad[373,34]                             1                       0
  10656 squad[373,35]                             1                       0
  10657 squad[373,36]                             1                       0
  10658 squad[373,37]                             1                       0
  10659 squad[373,38]                             1                       0
  10660 squad[373,39]                             1                    -4.4
  10661 squad[373,40]                             1                       0
  10662 squad[373,41]                             1                       0
  10663 squad[373,42]                             1                       0
  10707 squad[1280,0]                             1                       0
  10708 squad[1280,1]                             1                   -7.39
  10718 squad[1280,11]                            1                   -6.16
  10726 squad[1280,19]                            1                   -7.65
  10727 squad[1280,20]                            1                       0
  10728 squad[1280,21]                            1                       0
  10729 squad[1280,22]                            1                       0
  10730 squad[1280,23]                            1                   -7.76
  10735 squad[1280,28]                            1                   -6.84
  10736 squad[1280,29]                            1                       0
  10737 squad[1280,30]                            1                       0
  10738 squad[1280,31]                            1                       0
  10739 squad[1280,32]                            1                       0
  10740 squad[1280,33]                            1                   -7.83
  10746 squad[1280,39]                            1                    -7.2
  11607 transfer_in[1411,1]                       1                       0
  13329 transfer_in[21,1]                         1                       0
  13341 transfer_in[21,13]                        1                       0
  13530 transfer_in[76,34]                        1                       0
  14337 transfer_in[70,1]                         1                       0
  14757 transfer_in[1406,1]                       1                       0
  15297 transfer_in[1175,37]                      1                       0
  16821 transfer_in[412,7]                        1                       0
  17823 transfer_in[1260,1]                       1                       0
  18231 transfer_in[469,31]                       1                       0
  18260 transfer_in[387,18]                       1                       0
  18715 transfer_in[1359,11]                      1                       0
  19335 transfer_in[20,1]                         1                       0
  19869 transfer_in[1283,31]                      1                       0
  20007 transfer_in[895,1]                        1                       0
  20469 transfer_in[100,1]                        1                       0
  21058 transfer_in[351,2]                        1                       0
  21080 transfer_in[351,24]                       1                       0
  21092 transfer_in[351,36]                       1                       0
  21096 transfer_in[351,40]                       1                       0
  21519 transfer_in[417,1]                        1                       0
  21698 transfer_in[645,12]                       1                       0
  21855 transfer_in[373,1]                        1                       0
  21949 transfer_in[1280,11]                      1                       0
  21957 transfer_in[1280,19]                      1                       0
  21966 transfer_in[1280,28]                      1                       0
  21977 transfer_in[1280,39]                      1                       0
  24549 transfer_out[21,7]                        1                       5
  25589 transfer_out[70,39]                       1                       5
  25989 transfer_out[1406,19]                     1                       5
  28046 transfer_out[412,18]                      1                       5
  29492 transfer_out[387,36]                      1                       5
  29949 transfer_out[1359,31]                     1                       5
  30579 transfer_out[20,31]                       1                       5
  31693 transfer_out[100,11]                      1                       5
  32281 transfer_out[351,11]                      1                       5
  32298 transfer_out[351,28]                      1                       5
  32307 transfer_out[351,37]                      1                       5
  32913 transfer_out[645,13]                      1                       5
  33154 transfer_out[1280,2]                      1                       5
  33164 transfer_out[1280,12]                     1                       5
  33176 transfer_out[1280,24]                     1                       5
  33186 transfer_out[1280,34]                     1                       5
  33192 transfer_out[1280,40]                     1                       5
