,sky_id,fbref_player,short_team,sky_pos,tff_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,MD_30_Pts,MD_31_Pts,MD_32_Pts,MD_33_Pts,MD_34_Pts,MD_35_Pts,MD_36_Pts,MD_37_Pts,MD_38_Pts,MD_39_Pts,MD_40_Pts,MD_41_Pts,MD_42_Pts,Total_Pts
24,130,Josh Brownhill,BUR,MID,2.8,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,0.0,0.0,0.0,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,3.69,0.0,0.0,0.0,3.22,0.0,0.0,0.0,20.58
25,1469,Enzo Fernández,CHE,MID,4.2,0.0,0.0,0.0,0.0,0.0,3.51,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,23.75
26,828,Carney Chukwuemeka,CHE,MID,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
27,3209,Felipe,FOR,DEF,2.5,0.0,1.26,0.0,0.0,0.0,0.0,0.0,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,0.0,14.49
28,427,Scott McTominay,MUN,MID,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.47,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,2.6,0.0,0.0,0.0,14.770000000000001
29,35,Matty Cash,AVL,DEF,3.5,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,2.93,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,3.45,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,2.72,0.0,0.0,0.0,0.0,17.99
30,255,Mario Lemina,WOL,MID,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,0.0,2.74,0.0,0.0,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,18.96
31,438,Aaron Wan-Bissaka,MUN,DEF,3.9,0.0,0.0,0.0,0.0,0.0,0.0,3.74,0.0,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,3.24,0.0,0.0,0.0,20.230000000000004
32,185,Tyrick Mitchell,CRY,DEF,2.9,0.0,0.0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68,0.0,0.0,2.61,0.0,0.0,0.0,0.0,3.15,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,19.809999999999995
33,1113,Emerson,TOT,DEF,3.2,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,2.21,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,1.69,0.0,0.0,13.769999999999998
